Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,LOCATION,MISC,Pb,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Ba,Ba Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Pd,Pd Error,Ag,Ag Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Ca,Ca Error,K,K Error,S,S Error,Average (ppm)
548,5/11/2022 12:44,TestAll Geo,122.25,ppm,Final,-8mm ,PB108.1,12851 pierce st,,168.11,25.74,6.85,196.5,8.16,429,10.61,<LOD,10.01,65.54,5.02,10.34,4.98,,17.47,<LOD,7.18,<LOD,5.07,<LOD,14.79,<LOD,9.32,424.98,26.9,<LOD,57.67,202.16,35.77,87,49.52,<LOD,151.4,55141.44,1271.14,551.74,77.99,726.63,73.66,<LOD,38.88,<LOD,25.07,<LOD,12.13,<LOD,5.79,<LOD,9,897085.44,2096.65,35.04,5.34,23.12,10.17,<LOD,1.5,<LOD,1.5,<LOD,1.5,212.27,35.74,190.1,116.55,5287.97,265.68,25311.86,854.16,13584.4,1079.19,<LOD,7408.14,
549,5/11/2022 12:47,TestAll Geo,122.97,ppm,Final,-8mm ,PB108.1,12851 pierce st,,126.36,24.47,6.74,238.14,8.77,476.42,11.14,<LOD,10.12,56.82,4.56,7.54,4.59,,15.03,<LOD,6.69,<LOD,5.21,<LOD,13.34,<LOD,9.31,339.29,24.13,<LOD,53.88,138.28,31.89,<LOD,71.48,204.9,99.74,51748.84,1186.58,637.55,81.25,703.96,73.04,<LOD,28.09,<LOD,33.45,<LOD,10.73,<LOD,5.56,<LOD,8.34,900419.63,2001.6,35.05,5.22,17.14,9.14,<LOD,1.5,<LOD,1.5,<LOD,1.5,213.2,34.9,223.72,117.65,5413.74,265.78,26144.71,844.95,12652.1,1012.93,<LOD,6557.75,
550,5/11/2022 12:49,TestAll Geo,121.89,ppm,Final,-8mm ,PB108.1,12851 pierce st,,169.48,28.47,6.91,172.41,7.97,440.91,10.91,<LOD,10.56,61.81,4.9,7.7,4.83,,17.67,<LOD,6.41,<LOD,5.16,<LOD,14.77,<LOD,8.97,413.89,26.86,<LOD,54.76,179.97,35.12,83.99,49.34,<LOD,149.76,53757.96,1257.83,658.14,83.79,787.74,75.31,<LOD,28.5,<LOD,25.19,<LOD,10.54,<LOD,5.83,<LOD,8.31,897807.69,2104.08,31.16,5.27,<LOD,14.27,<LOD,1.5,<LOD,1.5,<LOD,1.5,189.51,34.46,287.9,118.89,5277.21,263.99,26459.87,859.49,12938.41,1026.86,<LOD,5476.22,154.65
551,5/11/2022 12:52,TestAll Geo,121.91,ppm,Final,-8mm ,PB108.2,12851 pierce st,,161.82,<LOD,6.11,190.37,8.25,456.53,11.11,<LOD,9.96,63.84,4.96,<LOD,6.9,,17.23,<LOD,6.82,<LOD,5.35,<LOD,14.78,<LOD,9.52,352.55,25.07,<LOD,57.4,157.1,33.78,<LOD,5.01,<LOD,150.7,53538.39,1253.82,621.74,82.08,818.03,74.71,<LOD,28.01,<LOD,41.76,<LOD,12.44,<LOD,5.62,<LOD,8.79,898306,2094.43,28.68,5.19,<LOD,14.11,<LOD,1.5,<LOD,1.5,<LOD,1.5,178.75,33.77,296.8,118.31,5454.2,265.62,25591.58,844.09,13524.64,1044.5,<LOD,8325.17,
552,5/11/2022 12:56,TestAll Geo,121.61,ppm,Final,-8mm ,PB108.2.2,12851 pierce st,,132.87,23.38,7.09,306.24,9.9,481.69,11.55,<LOD,10.61,59.97,4.84,7.81,4.82,,15.86,<LOD,6.96,<LOD,5.47,<LOD,13.97,<LOD,9.7,318.19,24.24,<LOD,122.65,122.34,32.15,<LOD,72.71,<LOD,159.22,56229.16,1303.48,600,82.99,749,75.04,<LOD,28.38,<LOD,25.34,<LOD,10.99,<LOD,5.81,<LOD,8.39,892620.06,2195.52,32.17,5.31,21.69,9.87,<LOD,1.5,<LOD,1.5,<LOD,1.5,189.4,35.02,268.78,124.23,6828.73,299.03,27542.72,894.15,13133.08,1068.55,<LOD,5458.85,
553,5/11/2022 12:59,TestAll Geo,121.28,ppm,Final,-8mm ,PB108.2.3,12851 pierce st,,150.66,28.97,7.12,292.45,9.82,473.7,11.57,<LOD,10.32,54.18,4.57,<LOD,7.36,,16.63,<LOD,6.7,<LOD,5.29,<LOD,15.06,<LOD,9.63,332.16,25.01,<LOD,60.08,134.41,32.52,<LOD,71.89,<LOD,158.26,53705.78,1254.57,675.92,86.74,689.08,72.04,<LOD,27.89,<LOD,24.66,<LOD,15.01,<LOD,5.87,<LOD,8.33,899278.31,2072.29,35.21,5.37,<LOD,13.81,<LOD,1.5,<LOD,1.5,<LOD,1.5,193.64,33.93,<LOD,181.31,5993.87,280.76,25386.67,834.94,12170.62,1003.73,<LOD,8579.85,148.45
554,5/11/2022 13:02,TestAll Geo,122.35,ppm,Final,-8mm ,PB108.3.1,12851 pierce st,,177.96,26.14,6.72,156.68,7.78,475.77,11.27,<LOD,10.43,69.99,5.15,<LOD,7.01,,17.79,<LOD,15.66,<LOD,5.4,<LOD,15.08,<LOD,8.94,395.54,26.21,<LOD,55.03,186.3,34.78,<LOD,71.46,<LOD,149.32,53298.36,1232.51,646.38,83.07,750.94,73.97,<LOD,28.1,<LOD,28.85,<LOD,10.47,<LOD,5.55,<LOD,8.33,900693.44,2026.68,28.36,5.12,<LOD,14.32,<LOD,1.5,<LOD,1.5,<LOD,1.5,197.88,34.7,<LOD,291.72,5351.92,271.96,23165.37,809.57,14074.46,1078.89,<LOD,5936.02,
555,5/11/2022 13:04,TestAll Geo,122.18,ppm,Final,-8mm ,PB108.3.2,12851 pierce st,,144.95,<LOD,7.26,576.75,13.03,488.97,11.94,<LOD,10.58,55.66,4.68,<LOD,7.47,,16.52,<LOD,7.33,<LOD,5.46,<LOD,15.46,<LOD,10.02,293.7,24.03,<LOD,59.2,131.97,32.79,<LOD,73.79,<LOD,168.9,56698.94,1318.2,686.41,89.61,853.94,76.25,<LOD,34.18,<LOD,30.96,<LOD,10.7,<LOD,5.99,<LOD,8.5,891664.75,2224.68,31.94,5.35,<LOD,13.89,<LOD,1.5,<LOD,1.5,<LOD,1.5,232.43,35.59,195.91,122.51,6978.76,298.54,27330.72,865.8,13379.96,1021.82,<LOD,5651.2,
556,5/11/2022 13:07,TestAll Geo,121.75,ppm,Final,-8mm ,PB108.3.3,12851 pierce st,,156.08,22.89,7.23,281.46,13.77,545.38,20.4,<LOD,300000,62.03,5.16,<LOD,300000,,17.85,<LOD,16.99,<LOD,300000,<LOD,300000,<LOD,300000,375.94,32.59,<LOD,300000,145.91,35.58,<LOD,300000,<LOD,300000,54023.8,1320.59,611.31,103.06,721.53,75.36,<LOD,37.13,<LOD,37.98,<LOD,11.81,<LOD,6.3,<LOD,10.16,903586.38,2091.13,34.93,5.65,24.22,10.7,<LOD,1.5,<LOD,1.5,<LOD,1.5,237.1,35.16,174.96,112.1,4908.69,253.55,21773.7,774.74,12301.34,996.67,<LOD,4799.79,159.6633333
557,5/11/2022 13:11,TestAll Geo,121.56,ppm,Final,-8mm ,PB120.1.1,12877 pierce st,,105.52,35.32,6.93,192.83,7.93,419.63,10.31,<LOD,10.19,76.28,5.31,6.76,4.37,,14.01,<LOD,6.06,<LOD,4.78,<LOD,12.23,<LOD,9.24,175.99,17.82,<LOD,50.59,110.21,30.76,<LOD,4.61,<LOD,114.55,36434.79,910.76,424.62,67.42,710.04,71.28,<LOD,27.37,<LOD,24.01,<LOD,10.72,<LOD,5.36,<LOD,8.08,920680.75,1651.68,32.57,5.18,<LOD,13.62,<LOD,1.5,<LOD,1.5,<LOD,1.5,216.88,30.57,186.16,97.67,4024.63,214.97,20271.49,715.47,15682.07,1025.34,<LOD,6457.88,
558,5/11/2022 13:14,TestAll Geo,121.57,ppm,Final,-8mm ,PB120.1.2,12877 pierce st,,96.03,27.15,7.22,465.69,11.04,435.76,10.53,<LOD,10.42,77.25,5.28,<LOD,6.42,,13.27,<LOD,6.21,<LOD,4.6,<LOD,12.01,<LOD,8.51,164.93,17.31,<LOD,48.85,85.4,29.03,<LOD,70.33,<LOD,114.51,35047.33,873.23,402.52,67.91,800.41,71.32,<LOD,40.94,<LOD,38.05,<LOD,10.41,<LOD,5.33,<LOD,12.75,924190,1586.56,29.9,5.06,<LOD,13.39,<LOD,1.5,<LOD,1.5,<LOD,1.5,351.82,35.13,222.14,96.35,4190.13,214.2,19353.4,693.53,13764.15,979.69,<LOD,7692.89,
559,5/11/2022 13:17,TestAll Geo,120.47,ppm,Final,-8mm ,PB120.1.3,12877 pierce st,,113.62,27.45,6.54,171.84,7.49,430.63,10.21,<LOD,9.7,69.4,4.94,<LOD,5.91,,14.05,<LOD,6.7,<LOD,4.83,<LOD,11.57,<LOD,8.34,167.74,17.05,<LOD,48.99,98.81,29.27,69.11,45.92,<LOD,110.72,35407.16,868.13,391.68,64.34,660.39,68.95,<LOD,28.93,<LOD,23.99,<LOD,10.28,<LOD,7.7,<LOD,7.81,925718.44,1519.76,27.2,4.9,<LOD,19.54,<LOD,1.5,<LOD,1.5,<LOD,1.5,196.05,29.04,181.97,88.69,3394.78,192.04,18604.12,671.37,14091.76,970.29,<LOD,5486.25,105.0566667
560,5/11/2022 13:20,TestAll Geo,121.87,ppm,Final,-8mm ,PB120.2.1,12877 pierce st,,88.66,21.14,6.1,130.17,6.59,388.93,9.41,<LOD,9.47,69.43,4.77,<LOD,5.75,,12.27,<LOD,6.09,<LOD,4.74,<LOD,10.52,<LOD,8.1,172.27,16.71,<LOD,48.52,95.21,27.99,83.22,44.41,<LOD,99.42,31022.12,762.31,415.76,62.53,649.08,65.61,<LOD,31.39,<LOD,25.07,<LOD,9.98,<LOD,6.27,<LOD,7.63,934150,1327.55,23.32,4.63,<LOD,12.11,<LOD,1.5,<LOD,1.5,<LOD,1.5,180.91,26.79,135.65,80.81,2851.15,172.13,17030.78,618.08,12311.27,887.61,<LOD,5636.61,
561,5/11/2022 13:22,TestAll Geo,120.8,ppm,Final,-8mm ,PB120.2.2,12877 pierce st,,87.77,28.78,6.37,136.14,6.62,359.88,9.08,<LOD,9.41,73.94,5,<LOD,5.79,,12.45,<LOD,5.7,<LOD,4.49,<LOD,10.8,<LOD,7.74,180.03,16.93,<LOD,44.93,68.86,27,<LOD,66.47,<LOD,96.27,29876.93,752.48,333.8,58.3,631.67,66.19,<LOD,25.72,<LOD,27.51,<LOD,10.13,<LOD,5.41,<LOD,7.77,929579.44,1436.43,26.45,4.79,13.28,8.53,<LOD,1.5,<LOD,1.5,<LOD,1.5,193.88,27.78,179.75,84.9,3423.43,186.67,16542.95,621.42,13835.98,941.77,<LOD,4639.1,
562,5/11/2022 13:25,TestAll Geo,110.76,ppm,Final,-8mm ,PB120.2.3,12877 pierce st,,92.67,26.6,7.09,115.88,7.4,401.61,11.02,<LOD,10.48,61.68,5.15,7.69,4.75,,14.41,<LOD,6.22,<LOD,5.4,<LOD,12.35,<LOD,9,158.89,18.5,<LOD,51.57,70.25,30.63,<LOD,4.88,<LOD,117.53,32358.06,898.92,366.58,69.9,636.03,68.9,<LOD,26.6,<LOD,30.22,<LOD,10.42,<LOD,5.63,<LOD,8.09,932702.31,1547.54,28.57,5.47,19.24,9.91,<LOD,1.5,<LOD,1.5,<LOD,1.5,170.52,26.4,<LOD,124.43,3191.36,184.17,17828.75,652.33,11502.37,860.62,<LOD,4717.35,89.7
564,5/11/2022 13:30,TestAll Geo,120.35,ppm,Final,-8mm ,PB120.3.1,12877 pierce st,,83.92,30.78,6.74,128.55,6.84,378.72,9.72,<LOD,9.62,70.1,5.12,<LOD,5.9,,12.83,<LOD,5.67,<LOD,4.67,<LOD,10.67,<LOD,8.6,188.42,18.13,<LOD,49.52,107.99,30.83,<LOD,4.46,<LOD,110.88,36320.93,917.03,357.43,63.26,612.15,70.01,<LOD,27.43,<LOD,24.29,<LOD,10.74,<LOD,5.77,<LOD,7.99,924366.81,1611.07,27.85,5.08,<LOD,13.25,<LOD,1.5,<LOD,1.5,<LOD,1.5,196.39,29.84,<LOD,150.89,4974.55,236.83,19057.45,694.03,12735.26,961.73,<LOD,5344.75,
565,5/11/2022 13:33,TestAll Geo,120.04,ppm,Final,-8mm ,PB120.3.2,12877 pierce st,,84.06,32.84,6.63,141.22,6.96,385.65,9.67,<LOD,9.41,73.67,5.12,8.19,4.27,,12.57,<LOD,5.76,<LOD,4.59,<LOD,10.62,<LOD,8.23,220.09,19.11,<LOD,49.62,100.15,29.54,89.42,46.8,<LOD,108.58,35022.87,869.07,446.44,66.84,612.58,68.75,<LOD,26.75,<LOD,24.15,<LOD,10.45,<LOD,6.33,<LOD,8.14,924627.56,1567.6,28.44,4.96,21.09,9.26,<LOD,1.5,<LOD,1.5,<LOD,1.5,197.19,30.1,191.52,96.24,4100.28,214.92,19739.97,709.83,13657.97,993.79,<LOD,5279.76,
566,5/11/2022 13:36,TestAll Geo,120.53,ppm,Final,-8mm ,PB120.3.3,12877 pierce st,,95.75,26.26,6.52,144.93,7.16,403.34,10.01,<LOD,9.5,71.64,5.08,13.59,4.8,,13.32,<LOD,5.71,<LOD,4.48,<LOD,10.93,<LOD,8.63,204.02,18.72,<LOD,49.01,96.49,29.4,<LOD,4.48,<LOD,107.69,32986.91,832.89,430.98,66.86,661.33,66.74,<LOD,34.34,<LOD,24.6,<LOD,13.77,<LOD,6.48,<LOD,12.25,929240.81,1476.65,30.6,5.05,26.36,9.7,<LOD,1.5,<LOD,1.5,<LOD,1.5,190.17,28.1,169.56,90.42,3147.82,189.45,17917.13,651.01,13939.72,948.42,<LOD,6746.71,87.91
567,5/11/2022 13:40,TestAll Geo,120.15,ppm,Final,-8mm ,PB106.1.1,12851 pierce st,,229.22,<LOD,6.24,193.12,8.34,428.32,10.92,<LOD,10.42,60.27,4.94,<LOD,7.49,,20.86,<LOD,7.13,<LOD,6.1,<LOD,17.92,<LOD,9.45,354.32,25.42,<LOD,56.6,156.07,34.82,<LOD,75.51,<LOD,146.41,50066.13,1214.8,568.81,80.37,663.57,74.12,<LOD,28.68,<LOD,33.62,<LOD,10.95,<LOD,5.93,<LOD,8.56,901900.31,2077.34,36.05,5.53,<LOD,14.81,<LOD,1.5,<LOD,1.5,<LOD,1.5,190.24,33.11,211.89,111.11,5638.29,263.98,26266.01,857.93,12673.56,1009.9,<LOD,8693.22,
