SAMPLE,LOCATION,Pb,Pb,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Ba,Ba Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Pd,Pd Error,Ag,Ag Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Ca,Ca Error,K,K Error,S,Average (in ppm)
PB12905,12905 Pierce st,59.48,59.48,22.35,6.87,237.89,9.03,441.71,11.15,<LOD,10.33,60.73,4.82,<LOD,6.26,,11.46,<LOD,7.01,<LOD,5.66,<LOD,10.43,<LOD,9.82,134.7,17.09,70.67,39.91,45.26,19.67,<LOD,5.15,<LOD,153.89,51775.66,1223.83,629.99,83.92,779.39,75.2,<LOD,28.08,<LOD,25.27,<LOD,10.45,<LOD,5.75,<LOD,8.39,902006.31,2031.41,29.52,5.21,<LOD,12.71,<LOD,1.5,<LOD,1.5,<LOD,1.5,192.8,32.97,<LOD,307.14,8800.48,335.33,21333.71,756.74,13289.77,1022.9,<LOD,
PB12905,12905 Pierce st,60.53,60.53,21.48,6.6,143.07,7.79,472.84,11.55,<LOD,10.28,57.9,4.7,10.05,4.69,,11.46,<LOD,6.89,<LOD,5.12,<LOD,10.93,<LOD,9.04,147.71,17.42,<LOD,51.23,35.86,19,<LOD,5.06,<LOD,145.93,47830.91,1143.25,661.66,85.4,849.92,72.67,<LOD,35.16,<LOD,26.99,<LOD,10.38,<LOD,7.43,<LOD,7.98,908778.63,1901.83,29.56,5.17,21.11,9.17,<LOD,1.5,<LOD,1.5,<LOD,1.5,164.29,30.17,<LOD,167.21,6059.01,267.4,20671.95,731.16,13698.91,1006.91,<LOD,
PB12905,12905 Pierce st,72.84,72.84,24.23,6.87,189.76,8.42,476.35,11.52,<LOD,10.11,59.8,4.83,<LOD,6.46,,12.41,<LOD,7.08,<LOD,5.26,<LOD,11.04,<LOD,9.07,147.11,17.38,<LOD,53.74,53,28.42,<LOD,72.81,<LOD,153.97,52966.7,1249.24,693.29,86.91,797.84,75.72,<LOD,28.44,<LOD,35.55,<LOD,11.09,<LOD,5.38,<LOD,8.56,902443.31,2029.78,28.43,5.21,<LOD,12.76,<LOD,1.5,<LOD,1.5,<LOD,1.5,199.95,33.42,251.88,117.15,6164.19,276.72,20710.14,752.78,14499.81,1063.17,<LOD,64
PB12905.2,12905 Pierce st,72.18,72.18,33.82,6.88,204.77,7.8,373.24,9.52,<LOD,9.35,61.65,4.73,6.99,4.06,,11.99,<LOD,5.76,<LOD,4.54,<LOD,10.01,<LOD,7.89,260.12,20.5,<LOD,47.07,105.45,29.96,<LOD,4.3,<LOD,113.95,39669.86,965.22,376.15,63.41,488.37,66.08,<LOD,27.42,<LOD,24.03,<LOD,10.17,<LOD,5.53,<LOD,9.56,920050.13,1661.22,37.21,5.27,18.27,8.91,<LOD,1.5,<LOD,1.5,<LOD,1.5,178.11,28.2,187.87,92.13,4480.2,214.52,21100.44,706.01,12042.17,894.58,<LOD,
PB12905.2,12905 Pierce st,95.28,95.28,37.41,7.36,239.65,8.52,360.96,9.7,<LOD,9.98,64.26,5.03,<LOD,6.33,,13.94,<LOD,5.94,<LOD,5.03,<LOD,11.25,<LOD,8.49,253.68,21.01,<LOD,48.97,103.4,31.96,<LOD,4.67,<LOD,124.41,41955.36,1047.81,539.02,75.31,575.79,73.03,<LOD,29.9,<LOD,31.41,<LOD,11.25,<LOD,6.19,<LOD,9.51,913854.81,1835.35,40.67,5.61,14.46,9.23,<LOD,1.5,<LOD,1.5,<LOD,1.5,188.02,31.69,243.73,109.05,5195.6,251.39,22364.47,775.59,13455.67,1007.54,<LOD,
PB12905.2,12905 Pierce st,86.03,86.03,26.12,6.79,237.73,8.32,357.81,9.47,<LOD,9.61,63.32,4.8,7.36,4.23,,12.78,<LOD,5.89,<LOD,4.56,<LOD,10.55,<LOD,8.61,267.8,21.18,<LOD,51.79,87.98,29.17,<LOD,69.73,<LOD,122.25,40563.31,984.76,438.58,69.45,630.93,67.45,<LOD,26.34,<LOD,30.92,<LOD,11.41,<LOD,5.45,<LOD,8.62,915562.13,1747.29,30.02,5.08,15.72,8.85,<LOD,1.5,<LOD,1.5,<LOD,1.5,374.46,35.98,145.15,96.09,4692.3,224.79,21635.45,731.76,14490.76,987.45,<LOD,84
PB12905.3,12905 Pierce st,145.25,145.25,24.46,6.55,170.17,7.5,388.4,9.85,<LOD,10.01,76.13,5.25,9.8,4.72,,15.9,<LOD,6.59,<LOD,5.05,19.39,9.43,<LOD,8.67,260.57,20.98,<LOD,52.03,145.57,31.77,<LOD,4.49,<LOD,125.62,42581.79,1013.19,397.39,66.34,653.2,70.45,<LOD,27.36,<LOD,24.14,<LOD,10.74,<LOD,5.52,<LOD,10.49,916526.63,1713.36,26.41,4.94,20.45,9.7,<LOD,1.5,<LOD,1.5,<LOD,1.5,249.33,32.9,168.42,98.53,4393.13,223.27,19293.93,704.58,14281.16,1020.35,<LOD,
PB12905.3,12905 Pierce st,136.8,136.8,35.52,7.24,284.58,9.32,432.96,10.71,<LOD,10.48,77.11,5.44,8.53,4.77,,15.96,<LOD,6.43,<LOD,5.1,<LOD,13.75,<LOD,9.15,233.6,20.68,<LOD,55.3,134.87,32.2,<LOD,4.59,<LOD,128.72,41785.4,1027.2,467.82,72.21,669.72,71.82,<LOD,27.7,<LOD,24.93,<LOD,10.97,<LOD,5.79,<LOD,8.1,914742.88,1798.43,32.58,5.27,19.73,9.94,<LOD,1.5,<LOD,1.5,<LOD,1.5,216.68,32.58,258.26,106.55,5492.99,251.66,20182.23,733.61,14548.14,1039.82,<LOD,
PB12905.3,12905 Pierce st,135.2,135.2,31.11,6.81,249.75,8.67,432.82,10.45,<LOD,10.09,68.2,4.93,<LOD,6.72,,15.25,<LOD,6,<LOD,4.58,<LOD,13.08,<LOD,8.94,230.69,20,<LOD,52.71,124.43,30.56,<LOD,68.69,<LOD,129.78,43369.23,1022.72,491.73,71.8,714.97,70.55,<LOD,26.74,<LOD,36.16,<LOD,10.32,<LOD,5.47,<LOD,7.91,912981.44,1768.79,27.96,4.96,15.96,9.18,<LOD,1.5,<LOD,1.5,<LOD,1.5,216.92,32.47,171.64,105.79,4716.88,238.68,21537.95,750.59,14238.62,1028.78,<LOD,139
PB10909.1,10909 Pierce st,126.41,126.41,34.14,6.9,167.48,7.5,360.91,9.65,<LOD,9.69,56.72,4.59,<LOD,6.14,,15.2,<LOD,6.18,<LOD,5.02,<LOD,12.45,<LOD,8.73,167.33,17.66,<LOD,53.62,83.93,29.49,<LOD,4.72,163.52,93.39,49142.62,1155.23,574.62,77.11,585.06,70.26,<LOD,27.68,<LOD,24.63,<LOD,18.21,<LOD,5.52,<LOD,8.38,912310,1813.05,26.1,5.04,<LOD,19.85,<LOD,1.5,<LOD,1.5,<LOD,1.5,222.41,33.55,183.71,101.57,4450.66,230.53,19573.21,717.39,11737.38,965.85,<LOD,
