Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,LOCATION,MISC,NOTE,Pb,Average (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,5/19/2022 11:05,TestAll Geo,120.38,ppm,Final,-8mm ,PB10662,10662 Sutter ave,,,124.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,5/19/2022 11:08,TestAll Geo,120.59,ppm,Final,-8mm ,PB10662,10662 Sutter ave,,,96.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,5/19/2022 11:10,TestAll Geo,120.37,ppm,Final,-8mm ,PB10662,10662 Sutter ave,,,107.85,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,5/19/2022 11:13,TestAll Geo,121.26,ppm,Final,-8mm ,PB10662.2,10662 Sutter ave,,,176.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,5/19/2022 11:16,TestAll Geo,120,ppm,Final,-8mm ,PB10662.2,10662 Sutter ave,,,147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,5/19/2022 11:18,TestAll Geo,120.48,ppm,Final,-8mm ,PB10662.2,10662 Sutter ave,,,154.16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,5/19/2022 11:21,TestAll Geo,121.46,ppm,Final,-8mm ,PB10662.3,10662 Sutter ave,,,120.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,5/19/2022 11:23,TestAll Geo,120.19,ppm,Final,-8mm ,PB10662.3,10662 Sutter ave,,,133.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,5/19/2022 11:26,TestAll Geo,120.87,ppm,Final,-8mm ,PB10662.3,10662 Sutter ave,,,123.14,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,5/19/2022 11:30,TestAll Geo,120.35,ppm,Final,-8mm ,PBAFF,AmericanFruits&Flavors,,,181.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,5/19/2022 11:33,TestAll Geo,120.04,ppm,Final,-8mm ,PBAFF,AmericanFruits&Flavors,,,147.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,5/19/2022 11:36,TestAll Geo,120.71,ppm,Final,-8mm ,PBAFF,AmericanFruits&Flavors,,,184.77,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,5/19/2022 11:38,TestAll Geo,121.43,ppm,Final,-8mm ,PBAFF.2,AmericanFruits&Flavors,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,5/19/2022 11:41,TestAll Geo,120.87,ppm,Final,-8mm ,PBAFF.2,AmericanFruits&Flavors,,,120.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,5/19/2022 11:44,TestAll Geo,120.32,ppm,Final,-8mm ,PBAFF.2,AmericanFruits&Flavors,,,122.21,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,5/19/2022 11:47,TestAll Geo,120.46,ppm,Final,-8mm ,PBAFF.3,AmericanFruits&Flavors,,,107.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,5/19/2022 11:49,TestAll Geo,121.51,ppm,Final,-8mm ,PBAFF.3,AmericanFruits&Flavors,,,108.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,5/19/2022 11:52,TestAll Geo,120.5,ppm,Final,-8mm ,PBAFF.3,AmericanFruits&Flavors,,,101.27,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,5/19/2022 12:03,TestAll Geo,121.11,ppm,Final,-8mm ,PB13110,13110 Jouett st,,,124.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,5/19/2022 12:06,TestAll Geo,120.96,ppm,Final,-8mm ,PB13110,13110 Jouett st,,,122.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,5/19/2022 12:08,TestAll Geo,120.84,ppm,Final,-8mm ,PB13110,13110 Jouett st,,,117.01,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,5/19/2022 12:12,TestAll Geo,120.47,ppm,Final,-8mm ,PB13110.2,13110 Jouett st,,,104.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,5/19/2022 12:14,TestAll Geo,121.64,ppm,Final,-8mm ,PB13110.2,13110 Jouett st,,,95.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,5/19/2022 12:17,TestAll Geo,121.4,ppm,Final,-8mm ,PB13110.2,13110 Jouett st,,,76.87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,5/19/2022 12:20,TestAll Geo,120.97,ppm,Final,-8mm ,PB13110.3,13110 Jouett st,,,134.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,5/19/2022 12:22,TestAll Geo,120.62,ppm,Final,-8mm ,PB13110.3,13110 Jouett st,,,136.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,5/19/2022 12:25,TestAll Geo,120.62,ppm,Final,-8mm ,PB13110.3,13110 Jouett st,,,126.77,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,5/19/2022 12:29,TestAll Geo,120.55,ppm,Final,-8mm ,PB13064,13064 Jouett st,,,64.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,5/19/2022 12:31,TestAll Geo,121.11,ppm,Final,-8mm ,PB13064,13064 Jouett st,,,53.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,5/19/2022 12:34,TestAll Geo,121.13,ppm,Final,-8mm ,PB13064,13064 Jouett st,,,72.84,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,5/19/2022 12:37,TestAll Geo,121.39,ppm,Final,-8mm ,PB13064.2,13064 Jouett st,,,97.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,5/19/2022 12:39,TestAll Geo,121.13,ppm,Final,-8mm ,PB13064.2,13064 Jouett st,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,5/19/2022 12:42,TestAll Geo,121.43,ppm,Final,-8mm ,PB13064.2,13064 Jouett st,,,92.16,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,5/19/2022 12:45,TestAll Geo,121.6,ppm,Final,-8mm ,PB13064.3,13064 Jouett st,,,118.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,5/19/2022 12:48,TestAll Geo,120.59,ppm,Final,-8mm ,PB13064.3,13064 Jouett st,,,108.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,5/19/2022 12:50,TestAll Geo,120.28,ppm,Final,-8mm ,PB13064.3,13064 Jouett st,,,139.29,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
